Name,Web pages,Country,Domains,State Province
University of Pittsburgh Medical Center,['https://www.upmc.com/'],United States,"['upmc.edu', 'upmc.com']",Pennsylvania
The University of Texas at Rio Grande Valley,['https://www.utrgv.edu/'],United States,['utrgv.edu'],Texas
Utah Valley University,['https://uvu.edu/'],United States,['uvu.edu'],Utah
Florida Polytechnic University,['https://floridapoly.edu/'],United States,['floridapoly.edu'],Florida
College of Southern Nevada,['https://www.csn.edu/'],United States,['csn.edu'],NV
Bloomsburg University of Pennsylvania,['http://www.bloomu.edu/'],United States,['bloomu.edu'],Pennsylvania
California University of Pennsylvania,['http://www.cup.edu/'],United States,['cup.edu'],Pennsylvania
Clarion University of Pennsylvania,['http://www.clarion.edu/'],United States,['clarion.edu'],Pennsylvania
Allen College,['https://www.allencollege.edu/'],United States,['allencollege.edu'],Iowa
East Stroudsburg State University of Pennsylvania,['http://www.esu.edu/'],United States,['esu.edu'],Pennsylvania
Edinboro University of Pennsylvania,['http://www.edinboro.edu/'],United States,['edinboro.edu'],Pennsylvania
Emory & Henry College,['https://www.ehc.edu/'],United States,['ehc.edu'],VA
East Texas Baptist University,['https://www.etbu.edu/'],United States,['etbu.edu'],TX
Haverford College in Pennsylvania,['http://www.haverford.edu/'],United States,['haverford.edu'],Pennsylvania
